world,holonomy_iso_gauge,typed_cycle_iso,closure_iso,path_association,transport_mutation_detected,edge_type_mutation_detected,metric_mutation_detected,direct_graph_bytes,worldsheet_cycle_bytes
0,1,1,1,1,1,1,1,1056,390
1,1,1,1,1,1,1,1,759,317
2,1,1,1,1,1,1,1,583,230
3,1,1,1,1,1,1,1,660,262
4,1,1,1,1,1,1,1,636,270
5,1,1,1,1,1,1,1,812,308
6,1,1,1,1,1,1,1,789,284
7,1,1,1,1,1,1,1,989,376
8,1,1,1,1,1,1,1,1165,420
9,1,1,1,1,1,1,1,697,309
10,1,1,1,1,1,1,1,694,254
11,1,1,1,1,1,1,1,1035,404
12,1,1,1,1,1,1,1,665,272
13,1,1,1,1,1,1,1,568,270
14,1,1,1,1,1,1,1,586,256
15,1,1,1,1,1,1,1,806,339
16,1,1,1,1,1,1,1,1040,384
17,1,1,1,1,1,1,1,810,322
18,1,1,1,1,1,1,1,1157,383
19,1,1,1,1,1,1,1,526,237
20,1,1,1,1,1,1,1,730,278
21,1,1,1,1,1,1,1,499,227
22,1,1,1,1,1,1,1,689,297
23,1,1,1,1,1,1,1,1161,406
24,1,1,1,1,1,1,1,1132,389
25,1,1,1,1,1,1,1,680,303
26,1,1,1,1,1,1,1,857,318
27,1,1,1,1,1,1,1,862,332
28,1,1,1,1,1,1,1,900,349
29,1,1,1,1,1,1,1,685,299
30,1,1,1,1,1,1,1,948,341
31,1,1,1,1,1,1,1,842,325
32,1,1,1,1,1,1,1,1108,392
33,1,1,1,1,1,1,1,565,239
34,1,1,1,1,1,1,1,1070,374
35,1,1,1,1,1,1,1,494,242
36,1,1,1,1,1,1,1,579,247
37,1,1,1,1,1,1,1,1100,388
38,1,1,1,1,1,1,1,615,266
39,1,1,1,1,1,1,1,1161,362
40,1,1,1,1,1,1,1,548,239
41,1,1,1,1,1,1,1,509,247
42,1,1,1,1,1,1,1,717,297
43,1,1,1,1,1,1,1,625,257
44,1,1,1,1,1,1,1,804,303
45,1,1,1,1,1,1,1,808,330
46,1,1,1,1,1,1,1,881,340
47,1,1,1,1,1,1,1,664,284
48,1,1,1,1,1,1,1,664,294
49,1,1,1,1,1,1,1,1191,374
50,1,1,1,1,1,1,1,1043,355
51,1,1,1,1,1,1,1,630,272
52,1,1,1,1,1,1,1,613,247
53,1,1,1,1,1,1,1,456,231
54,1,1,1,1,1,1,1,658,255
55,1,1,1,1,1,1,1,939,334
56,1,1,1,1,1,1,1,879,306
57,1,1,1,1,1,1,1,842,308
58,1,1,1,1,1,1,1,758,315
59,1,1,1,1,1,1,1,719,278
60,1,1,1,1,1,1,1,816,292
61,1,1,1,1,1,1,1,926,341
62,1,1,1,1,1,1,1,701,259
63,1,1,1,1,1,1,1,544,233
64,1,1,1,1,1,1,1,971,362
65,1,1,1,1,1,1,1,987,389
66,1,1,1,1,1,1,1,571,256
67,1,1,1,1,1,1,1,690,306
68,1,1,1,1,1,1,1,649,295
69,1,1,1,1,1,1,1,815,306
70,1,1,1,1,1,1,1,924,330
71,1,1,1,1,1,1,1,682,257
72,1,1,1,1,1,1,1,670,295
73,1,1,1,1,1,1,1,682,286
74,1,1,1,1,1,1,1,870,344
75,1,1,1,1,1,1,1,572,239
76,1,1,1,1,1,1,1,932,347
77,1,1,1,1,1,1,1,1019,363
78,1,1,1,1,1,1,1,775,310
79,1,1,1,1,1,1,1,867,330
80,1,1,1,1,1,1,1,842,296
81,1,1,1,1,1,1,1,973,380
82,1,1,1,1,1,1,1,916,338
83,1,1,1,1,1,1,1,560,240
84,1,1,1,1,1,1,1,802,314
85,1,1,1,1,1,1,1,510,235
86,1,1,1,1,1,1,1,995,371
87,1,1,1,1,1,1,1,510,236
88,1,1,1,1,1,1,1,918,353
89,1,1,1,1,1,1,1,1018,356
90,1,1,1,1,1,1,1,864,343
91,1,1,1,1,1,1,1,1196,362
92,1,1,1,1,1,1,1,595,272
93,1,1,1,1,1,1,1,799,321
94,1,1,1,1,1,1,1,1155,378
95,1,1,1,1,1,1,1,814,322
96,1,1,1,1,1,1,1,568,249
97,1,1,1,1,1,1,1,775,344
98,1,1,1,1,1,1,1,1080,398
99,1,1,1,1,1,1,1,806,314
100,1,1,1,1,1,1,1,969,387
101,1,1,1,1,1,1,1,477,234
102,1,1,1,1,1,1,1,963,348
103,1,1,1,1,1,1,1,965,345
104,1,1,1,1,1,1,1,827,330
105,1,1,1,1,1,1,1,483,234
106,1,1,1,1,1,1,1,696,250
107,1,1,1,1,1,1,1,719,280
108,1,1,1,1,1,1,1,887,332
109,1,1,1,1,1,1,1,536,252
110,1,1,1,1,1,1,1,771,333
111,1,1,1,1,1,1,1,980,337
112,1,1,1,1,1,1,1,589,265
113,1,1,1,1,1,1,1,625,243
114,1,1,1,1,1,1,1,937,338
115,1,1,1,1,1,1,1,841,307
116,1,1,1,1,1,1,1,708,281
117,1,1,1,1,1,1,1,1118,373
118,1,1,1,1,1,1,1,512,270
119,1,1,1,1,1,1,1,803,324
120,1,1,1,1,1,1,1,851,313
121,1,1,1,1,1,1,1,504,239
122,1,1,1,1,1,1,1,566,242
123,1,1,1,1,1,1,1,602,259
124,1,1,1,1,1,1,1,1072,411
125,1,1,1,1,1,1,1,1142,409
126,1,1,1,1,1,1,1,711,298
127,1,1,1,1,1,1,1,1144,384
128,1,1,1,1,1,1,1,1188,412
129,1,1,1,1,1,1,1,602,254
130,1,1,1,1,1,1,1,527,238
131,1,1,1,1,1,1,1,620,272
132,1,1,1,1,1,1,1,959,359
133,1,1,1,1,1,1,1,574,246
134,1,1,1,1,1,1,1,783,346
135,1,1,1,1,1,1,1,728,302
136,1,1,1,1,1,1,1,598,232
137,1,1,1,1,1,1,1,646,256
138,1,1,1,1,1,1,1,648,243
139,1,1,1,1,1,1,1,922,359
140,1,1,1,1,1,1,1,595,267
141,1,1,1,1,1,1,1,1173,390
142,1,1,1,1,1,1,1,1063,362
143,1,1,1,1,1,1,1,1002,363
144,1,1,1,1,1,1,1,778,306
145,1,1,1,1,1,1,1,608,252
146,1,1,1,1,1,1,1,686,281
147,1,1,1,1,1,1,1,525,235
148,1,1,1,1,1,1,1,488,233
149,1,1,1,1,1,1,1,717,277
150,1,1,1,1,1,1,1,523,241
151,1,1,1,1,1,1,1,570,248
152,1,1,1,1,1,1,1,711,298
153,1,1,1,1,1,1,1,784,325
154,1,1,1,1,1,1,1,480,229
155,1,1,1,1,1,1,1,776,294
156,1,1,1,1,1,1,1,536,230
157,1,1,1,1,1,1,1,556,267
158,1,1,1,1,1,1,1,1207,403
159,1,1,1,1,1,1,1,629,261
160,1,1,1,1,1,1,1,547,237
161,1,1,1,1,1,1,1,621,285
162,1,1,1,1,1,1,1,766,314
163,1,1,1,1,1,1,1,995,349
164,1,1,1,1,1,1,1,909,332
165,1,1,1,1,1,1,1,668,285
166,1,1,1,1,1,1,1,740,315
167,1,1,1,1,1,1,1,811,320
168,1,1,1,1,1,1,1,663,288
169,1,1,1,1,1,1,1,616,273
170,1,1,1,1,1,1,1,659,283
171,1,1,1,1,1,1,1,908,366
172,1,1,1,1,1,1,1,519,228
173,1,1,1,1,1,1,1,891,321
174,1,1,1,1,1,1,1,559,263
175,1,1,1,1,1,1,1,1112,400
176,1,1,1,1,1,1,1,774,310
177,1,1,1,1,1,1,1,560,235
178,1,1,1,1,1,1,1,933,366
179,1,1,1,1,1,1,1,691,279
180,1,1,1,1,1,1,1,1081,338
181,1,1,1,1,1,1,1,577,239
182,1,1,1,1,1,1,1,668,296
183,1,1,1,1,1,1,1,1103,401
184,1,1,1,1,1,1,1,472,220
185,1,1,1,1,1,1,1,532,228
186,1,1,1,1,1,1,1,741,268
187,1,1,1,1,1,1,1,1258,401
188,1,1,1,1,1,1,1,1004,378
189,1,1,1,1,1,1,1,911,354
190,1,1,1,1,1,1,1,1017,382
191,1,1,1,1,1,1,1,1087,376
192,1,1,1,1,1,1,1,548,230
193,1,1,1,1,1,1,1,623,269
194,1,1,1,1,1,1,1,505,235
195,1,1,1,1,1,1,1,722,286
196,1,1,1,1,1,1,1,820,318
197,1,1,1,1,1,1,1,521,228
198,1,1,1,1,1,1,1,523,243
199,1,1,1,1,1,1,1,735,307
200,1,1,1,1,1,1,1,1002,365
201,1,1,1,1,1,1,1,624,270
202,1,1,1,1,1,1,1,1015,366
203,1,1,1,1,1,1,1,582,241
204,1,1,1,1,1,1,1,668,267
205,1,1,1,1,1,1,1,1015,342
