world,class,operation,passed,shortest_witness
0,admissible,rename,1,
0,admissible,rigid_isometry,1,
0,admissible,edge_order,1,
0,admissible,full_iso,1,
0,mutation,metric,1,out_edge_type=G
0,mutation,edge_type,1,out_edge_type=G
0,mutation,boundary,1,boundary=open
0,mutation,warrant,1,warrant=definition
0,mutation,continuation,1,continuation=0
0,mutation,role,1,role=participant
1,admissible,rename,1,
1,admissible,rigid_isometry,1,
1,admissible,edge_order,1,
1,admissible,full_iso,1,
1,mutation,metric,1,out_edge_type=G
1,mutation,edge_type,1,out_edge_type=G
1,mutation,boundary,1,boundary=open
1,mutation,warrant,1,warrant=definition
1,mutation,continuation,1,continuation=0
1,mutation,role,1,role=participant
2,admissible,rename,1,
2,admissible,rigid_isometry,1,
2,admissible,edge_order,1,
2,admissible,full_iso,1,
2,mutation,metric,1,exists_metric_le=2.0
2,mutation,edge_type,1,out_edge_type=G
2,mutation,boundary,1,boundary=open
2,mutation,warrant,1,warrant=definition
2,mutation,continuation,1,continuation=0
2,mutation,role,1,role=participant
3,admissible,rename,1,
3,admissible,rigid_isometry,1,
3,admissible,edge_order,1,
3,admissible,full_iso,1,
3,mutation,metric,1,exists_metric_le=1.25
3,mutation,edge_type,1,out_edge_type=G
3,mutation,boundary,1,boundary=open
3,mutation,warrant,1,warrant=definition
3,mutation,continuation,1,continuation=0
3,mutation,role,1,role=participant
4,admissible,rename,1,
4,admissible,rigid_isometry,1,
4,admissible,edge_order,1,
4,admissible,full_iso,1,
4,mutation,metric,1,out_edge_type=G
4,mutation,edge_type,1,out_edge_type=G
4,mutation,boundary,1,boundary=open
4,mutation,warrant,1,warrant=definition
4,mutation,continuation,1,continuation=0
4,mutation,role,1,role=participant
5,admissible,rename,1,
5,admissible,rigid_isometry,1,
5,admissible,edge_order,1,
5,admissible,full_iso,1,
5,mutation,metric,1,typed_neighbor=G@2.0
5,mutation,edge_type,1,out_edge_type=G
5,mutation,boundary,1,boundary=open
5,mutation,warrant,1,warrant=definition
5,mutation,continuation,1,continuation=0
5,mutation,role,1,role=participant
6,admissible,rename,1,
6,admissible,rigid_isometry,1,
6,admissible,edge_order,1,
6,admissible,full_iso,1,
6,mutation,metric,1,out_edge_type=G
6,mutation,edge_type,1,out_edge_type=G
6,mutation,boundary,1,boundary=open
6,mutation,warrant,1,warrant=definition
6,mutation,continuation,1,continuation=0
6,mutation,role,1,role=participant
7,admissible,rename,1,
7,admissible,rigid_isometry,1,
7,admissible,edge_order,1,
7,admissible,full_iso,1,
7,mutation,metric,1,exists_metric_le=1.25
7,mutation,edge_type,1,out_edge_type=G
7,mutation,boundary,1,boundary=open
7,mutation,warrant,1,warrant=definition
7,mutation,continuation,1,continuation=0
7,mutation,role,1,role=participant
8,admissible,rename,1,
8,admissible,rigid_isometry,1,
8,admissible,edge_order,1,
8,admissible,full_iso,1,
8,mutation,metric,1,out_edge_type=G
8,mutation,edge_type,1,out_edge_type=G
8,mutation,boundary,1,boundary=open
8,mutation,warrant,1,warrant=definition
8,mutation,continuation,1,continuation=0
8,mutation,role,1,role=participant
9,admissible,rename,1,
